127.0.0.1 - - [25/Nov/2018:20:05:06 -0500] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [25/Nov/2018:20:05:15 -0500] "GET /Project1/ HTTP/1.1" 200 1039
0:0:0:0:0:0:0:1 - - [25/Nov/2018:20:05:16 -0500] "GET /Project1/Project1.js HTTP/1.1" 200 5887
0:0:0:0:0:0:0:1 - - [25/Nov/2018:20:05:17 -0500] "GET /Project1/login.view HTTP/1.1" 200 350
0:0:0:0:0:0:0:1 - - [25/Nov/2018:20:05:26 -0500] "GET /Project1/manager.view HTTP/1.1" 200 899
0:0:0:0:0:0:0:1 - - [25/Nov/2018:20:05:30 -0500] "GET /Project1/pending.view HTTP/1.1" 200 1132
0:0:0:0:0:0:0:1 - - [25/Nov/2018:20:05:34 -0500] "GET /Project1/pending HTTP/1.1" 200 299
0:0:0:0:0:0:0:1 - - [25/Nov/2018:20:05:40 -0500] "GET /Project1/old.view HTTP/1.1" 200 1067
0:0:0:0:0:0:0:1 - - [25/Nov/2018:20:05:40 -0500] "GET /Project1/old HTTP/1.1" 200 137
0:0:0:0:0:0:0:1 - - [25/Nov/2018:20:06:16 -0500] "GET /Project1/past.view HTTP/1.1" 200 1031
0:0:0:0:0:0:0:1 - - [25/Nov/2018:20:06:17 -0500] "GET /Project1/past HTTP/1.1" 200 435
0:0:0:0:0:0:0:1 - - [25/Nov/2018:20:06:28 -0500] "GET /Project1/reimb.view HTTP/1.1" 200 2008
0:0:0:0:0:0:0:1 - - [25/Nov/2018:20:55:39 -0500] "GET /Project1/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Nov/2018:20:55:48 -0500] "GET /Project1/pending.view HTTP/1.1" 200 1132
0:0:0:0:0:0:0:1 - - [25/Nov/2018:20:55:48 -0500] "GET /Project1/pending HTTP/1.1" 200 299
0:0:0:0:0:0:0:1 - - [25/Nov/2018:20:55:50 -0500] "GET /Project1/old.view HTTP/1.1" 200 1067
0:0:0:0:0:0:0:1 - - [25/Nov/2018:20:55:50 -0500] "GET /Project1/old HTTP/1.1" 200 137
0:0:0:0:0:0:0:1 - - [25/Nov/2018:22:18:40 -0500] "GET /Project1/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Nov/2018:22:19:06 -0500] "GET /Project1/ HTTP/1.1" 200 1039
0:0:0:0:0:0:0:1 - - [25/Nov/2018:22:19:07 -0500] "GET /Project1/Project1.js HTTP/1.1" 200 357
0:0:0:0:0:0:0:1 - - [25/Nov/2018:22:19:08 -0500] "GET /Project1/login.view HTTP/1.1" 200 329
0:0:0:0:0:0:0:1 - - [25/Nov/2018:22:19:11 -0500] "POST /Project1/login HTTP/1.1" 500 1548
0:0:0:0:0:0:0:1 - - [25/Nov/2018:22:19:22 -0500] "POST /Project1/login HTTP/1.1" 200 202
0:0:0:0:0:0:0:1 - - [25/Nov/2018:22:19:25 -0500] "GET /Project1/login? HTTP/1.1" 404 1032
0:0:0:0:0:0:0:1 - - [25/Nov/2018:22:19:54 -0500] "GET /Project1/login? HTTP/1.1" 404 1032
0:0:0:0:0:0:0:1 - - [25/Nov/2018:22:20:02 -0500] "POST /Project1/login HTTP/1.1" 200 211
0:0:0:0:0:0:0:1 - - [25/Nov/2018:22:20:03 -0500] "GET /Project1/partials/login? HTTP/1.1" 404 1040
0:0:0:0:0:0:0:1 - - [25/Nov/2018:22:20:29 -0500] "GET /Project1/Project1.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Nov/2018:22:20:29 -0500] "GET /Project1/login.view HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Nov/2018:22:20:32 -0500] "POST /Project1/login HTTP/1.1" 500 1548
0:0:0:0:0:0:0:1 - - [25/Nov/2018:22:20:37 -0500] "POST /Project1/login HTTP/1.1" 200 216
0:0:0:0:0:0:0:1 - - [25/Nov/2018:22:20:39 -0500] "GET /Project1/partials/login.html? HTTP/1.1" 200 329
0:0:0:0:0:0:0:1 - - [25/Nov/2018:22:21:24 -0500] "GET /Project1/Project1.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Nov/2018:22:21:24 -0500] "GET /Project1/login.view HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Nov/2018:22:21:27 -0500] "POST /Project1/login HTTP/1.1" 500 1548
0:0:0:0:0:0:0:1 - - [25/Nov/2018:22:21:33 -0500] "POST /Project1/login HTTP/1.1" 500 1548
0:0:0:0:0:0:0:1 - - [25/Nov/2018:22:21:55 -0500] "GET /Project1/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Nov/2018:22:21:55 -0500] "GET /Project1/login.view HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Nov/2018:22:21:58 -0500] "POST /Project1/login HTTP/1.1" 500 1548
0:0:0:0:0:0:0:1 - - [25/Nov/2018:22:23:55 -0500] "GET /Project1/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Nov/2018:22:23:55 -0500] "GET /Project1/Project1.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Nov/2018:22:23:55 -0500] "GET /Project1/login.view HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Nov/2018:22:23:59 -0500] "POST /Project1/login HTTP/1.1" 500 1548
